2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
1,1,6,6,6,9,9,9
1,1,6,6,6,9,9,9
1,1,6,6,6,9,9,9
1,1,6,6,6,9,9,9
1,1,6,6,6,9,9,9
1,1,6,6,6,9,9,9
1,1,6,6,6,9,9,9
1,1,6,6,6,9,9,9
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
2,2,2,6,6,11,11,11
1,1,1,6,6,6,9,9
1,1,1,6,6,6,9,9
1,1,1,6,6,6,9,9
1,1,1,6,6,6,9,9
1,1,1,6,6,6,9,9
1,1,1,6,6,6,9,9
1,1,1,6,6,6,9,9
1,1,1,6,6,6,9,9
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
2,2,2,7,7,11,11,11
1,1,2,2,7,7,11,11
2,2,2,7,7,11,11,11
1,1,2,2,4,4,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
1,1,4,4,4,9,9,9
2,2,2,2,6,6,6,6
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
2,2,2,6,6,9,9,9
1,1,1,4,4,4,9,9
1,1,1,4,4,4,9,9
1,1,1,4,4,4,9,9
1,1,1,4,4,4,9,9
1,1,1,4,4,4,9,9
1,1,1,4,4,4,9,9
1,1,1,4,4,4,9,9
1,1,1,4,4,4,9,9
